||SasView Model||SasView Description||SasView Parameters||SasFit Model||SasFit Description||SasFit Parameters||
||sphere||P(q)=(scale/V)*[3V(sld-sld_solvent)*(sin(qr)-qr cos(qr))                 /(qr) ^ 3] ^ 2 + background     r: radius of sphere     V: The volume of the scatter     sld: the SLD of the sphere     sld_solvent: the SLD of the solvent ||sld, 1e-6/Ang^2, 1, [-inf, inf], , Layer scattering length density, sld_solvent, 1e-6/Ang^2, 6, [-inf, inf], , Solvent scattering length density, radius, Ang, 50, [0, inf], volume, Sphere radius|| || || ||
||multilayer_vesicle||     multilayer_vesicle model parameters;     scale : scale factor for abs intensity if needed else 1.0     volfraction: volume fraction     radius : Core radius of the multishell     thick_shell: shell thickness     thick_solvent: water thickness     sld_solvent: solvent scattering length density     sld: shell scattering length density     n_pairs:number of pairs of water/shell     background: incoherent background         ||volfraction, , 0.05, [0.0, 1], , volume fraction of vesicles, radius, Ang, 60.0, [0.0, inf], , Core radius of the multishell, thick_shell, Ang, 10.0, [0.0, inf], , Shell thickness, thick_solvent, Ang, 10.0, [0.0, inf], , Water thickness, sld_solvent, 1e-6/Ang^2, 6.4, [-inf, inf], , Core scattering length density, sld, 1e-6/Ang^2, 0.4, [-inf, inf], , Shell scattering length density, n_pairs, , 2.0, [1.0, inf], , Number of pairs of water and shell|| || || ||
||core_shell_cylinder|| P(q,alpha)= scale/Vs*f(q) ^ (2) + background,       where: f(q)= 2(sld_core - solvant_sld)         * Vc*sin[qLcos(alpha/2)]         /[qLcos(alpha/2)]*J1(qRsin(alpha))         /[qRsin(alpha)]+2(sld_shell-sld_solvent)         *Vs*sin[q(L+T)cos(alpha/2)][[q(L+T)         *cos(alpha/2)]*J1(q(R+T)sin(alpha))         /q(R+T)sin(alpha)]      alpha:is the angle between the axis of         the cylinder and the q-vector     Vs: the volume of the outer shell     Vc: the volume of the core     L: the length of the core         sld_shell: the scattering length density of the shell     sld_solvent: the scattering length density of the solvent     background: the background     T: the thickness         R+T: is the outer radius      L+2T: The total length of the outershell     J1: the first order Bessel function      theta: axis_theta of the cylinder      phi: the axis_phi of the cylinder ||sld_core, 1e-6/Ang^2, 4, [-inf, inf], , Cylinder core scattering length density, sld_shell, 1e-6/Ang^2, 4, [-inf, inf], , Cylinder shell scattering length density, sld_solvent, 1e-6/Ang^2, 1, [-inf, inf], , Solvent scattering length density, radius, Ang, 20, [0, inf], volume, Cylinder core radius, thickness, Ang, 20, [0, inf], volume, Cylinder shell thickness, length, Ang, 400, [0, inf], volume, Cylinder length, theta, degrees, 60, [-inf, inf], orientation, In plane angle, phi, degrees, 60, [-inf, inf], orientation, Out of plane angle|| || || ||
||lamellar_hg||    [Random lamellar phase with Head and Tail Groups]         I(q)= 2*pi*P(q)/(2(H+T)*q ^ (2)), where         P(q)= see manual         layer thickness =(H+T+T+H) = 2(Head+Tail)         sld = Tail scattering length density         sld_head = Head scattering length density         sld_solvent = solvent scattering length density         background = incoherent background         scale = scale factor ||tail_length, Ang, 15, [0, inf], volume, Tail thickness ( total = H+T+T+H), head_length, Ang, 10, [0, inf], volume, Head thickness, sld, 1e-6/Ang^2, 0.4, [-inf, inf], , Tail scattering length density, sld_head, 1e-6/Ang^2, 3.0, [-inf, inf], , Head scattering length density, sld_solvent, 1e-6/Ang^2, 6, [-inf, inf], , Solvent scattering length density|| || || ||
||barbell||     Calculates the scattering from a barbell-shaped cylinder.     That is a sphereocylinder with spherical end caps that have a radius larger     than that of the cylinder and the center of the end cap radius lies outside     of the cylinder.     Note: As the length of cylinder(bar) -->0,it becomes a dumbbell. And when     rad_bar = rad_bell, it is a spherocylinder.     It must be that rad_bar <(=) rad_bell. ||sld, 1e-6/Ang^2, 4, [-inf, inf], , Barbell scattering length density, sld_solvent, 1e-6/Ang^2, 1, [-inf, inf], , Solvent scattering length density, bell_radius, Ang, 40, [0, inf], volume, Spherical bell radius, radius, Ang, 20, [0, inf], volume, Cylindrical bar radius, length, Ang, 400, [0, inf], volume, Cylinder bar length, theta, degrees, 60, [-inf, inf], orientation, In plane angle, phi, degrees, 60, [-inf, inf], orientation, Out of plane angle|| || || ||
||fuzzy_sphere||scale: scale factor times volume fraction, or just volume fraction for absolute scale data radius: radius of the solid sphere fuzziness = the standard deviation of the fuzzy interfacial thickness (ie., so-called interfacial roughness) sld: the SLD of the sphere solvend_sld: the SLD of the solvent background: incoherent background Note: By definition, this function works only when fuzziness << radius. ||sld, 1e-6/Ang^2, 1, [-inf, inf], , Particle scattering length density, sld_solvent, 1e-6/Ang^2, 3, [-inf, inf], , Solvent scattering length density, radius, Ang, 60, [0, inf], volume, Sphere radius, fuzziness, Ang, 10, [0, inf], , std deviation of Gaussian convolution for interface (must be << radius)|| || || ||
||linear_pearls||     Calculate form factor for Pearl Necklace Model     [Macromol. 1996, 29, 2974-2979]     Parameters:      sld_pearl: the SLD of the pearl spheres     sld_solv: the SLD of the solvent     num_pearls: number of the pearls     radius: the radius of a pearl     edge_separation: the length of string segment; surface to surface     ||radius, Ang, 80.0, [0, inf], , Radius of the pearls, edge_sep, Ang, 350.0, [0, inf], , Length of the string segment - surface to surface, num_pearls, , 3.0, [0, inf], , Number of the pearls, sld, 1e-6/Ang^2, 1.0, [-inf, inf], , SLD of the pearl spheres, sld_solvent, 1e-6/Ang^2, 6.3, [-inf, inf], , SLD of the solvent|| || || ||
||triaxial_ellipsoid||Note: During fitting ensure that the inequality ra<rb<rc is not 	violated. Otherwise the calculation will 	not be correct. ||sld, 1e-6/Ang^2, 4, [-inf, inf], , Ellipsoid scattering length density, solvent_sld, 1e-6/Ang^2, 1, [-inf, inf], , Solvent scattering length density, req_minor, Ang, 20, [0, inf], volume, Minor equatorial radius, req_major, Ang, 400, [0, inf], volume, Major equatorial radius, rpolar, Ang, 10, [0, inf], volume, Polar radius, theta, degrees, 60, [-inf, inf], orientation, In plane angle, phi, degrees, 60, [-inf, inf], orientation, Out of plane angle, psi, degrees, 60, [-inf, inf], orientation, Out of plane angle|| || || ||
||lorentz|| Model that evaluates a Lorentz (Ornstein-Zernicke) model.          I(q) = scale/( 1 + (q*L) ^ 2 ) + bkd          The model has three parameters:      length     =  screening Length     scale  =  scale factor     background    =  incoherent background ||cor_length, Ang, 50.0, [0, inf], , Screening length|| || || ||
||mono_gauss_coil||     Evaluates the scattering from      monodisperse polymer chains.     ||i_zero, 1/cm, 70.0, [0.0, inf], , Intensity at q=0, radius_gyration, Ang, 75.0, [0.0, inf], , Radius of gyration|| || || ||
||core_shell_bicelle||     P(q,alpha)= scale/Vs*f(q) ^ (2) + bkg,  where: f(q)= 2(sld_core     - solvant_sld)* Vc*sin[qLcos(alpha/2)]     /[qLcos(alpha/2)]*J1(qRsin(alpha))     /[qRsin(alpha)]+2(shell_sld-sld_solvent)     *Vs*sin[q(L+T)cos(alpha/2)][[q(L+T)     *cos(alpha/2)]*J1(q(R+T)sin(alpha))     /q(R+T)sin(alpha)]      alpha:is the angle between the axis of     the cylinder and the q-vector     Vs: the volume of the outer shell     Vc: the volume of the core     L: the length of the core     shell_sld: the scattering length density     of the shell     sld_solvent: the scattering length density     of the solvent     bkg: the background     T: the thickness     R+T: is the outer radius     L+2T: The total length of the outershell     J1: the first order Bessel function     theta: axis_theta of the cylinder     phi: the axis_phi of the cylinder...         ||radius, Ang, 20, [0, inf], volume, Cylinder core radius, rim_thickness, Ang, 10, [0, inf], volume, Rim shell thickness, face_thickness, Ang, 10, [0, inf], volume, Cylinder face thickness, length, Ang, 400, [0, inf], volume, Cylinder length, sld_core, 1e-6/Ang^2, 1, [-inf, inf], , Cylinder core scattering length density, sld_face, 1e-6/Ang^2, 4, [-inf, inf], , Cylinder face scattering length density, sld_rim, 1e-6/Ang^2, 4, [-inf, inf], , Cylinder rim scattering length density, sld_solvent, 1e-6/Ang^2, 1, [-inf, inf], , Solvent scattering length density, theta, degrees, 90, [-inf, inf], orientation, In plane angle, phi, degrees, 0, [-inf, inf], orientation, Out of plane angle|| || || ||
||mass_surface_fractal||         The scattering intensity  I(x) = scale*P(x)*S(x) + background, where         p(x)= [[1+(x ^ 2*a)] ^ (Dm/2) * [1+(x ^ 2*b)] ^ (6-Ds-Dm)/2] ^ (-1)         a = Rg ^ 2/(3*Dm/2)         b = rg ^ 2/(3*(6-Ds-Dm)/2)         scale        =  scale factor * N*Volume ^ 2*contrast ^ 2         mass_dim       =  Dm (mass fractal dimension)         surface_dim  =  Ds         cluster_rg  =  Rg         primary_rg    =  rg         background   =  background         Ref: Schmidt, J Appl Cryst, eq(19), (1991), 24, 414-435         Hurd, Schaefer, Martin, Phys Rev A, eq(2),(1987),35, 2361-2364         Note that 0 < Ds< 6 and 0 < Dm < 6.         ||mass_dim, , 1.8, [1e-16, 6.0], , Mass fractal dimension, surface_dim, , 2.3, [1e-16, 6.0], , Surface fractal dimension, cluster_rg, Ang, 86.7, [0.0, inf], , Cluster radius of gyration, primary_rg, Ang, 4000.0, [0.0, inf], , Primary particle radius of gyration|| || || ||
||flexible_cylinder||Note : scale and contrast = (sld - sld_solvent) are both                 multiplicative factors in the model and are perfectly                 correlated. One or both of these parameters must be held fixed                 during model fitting.               ||length, Ang, 1000.0, [0, inf], volume, Length of the flexible cylinder, kuhn_length, Ang, 100.0, [0, inf], volume, Kuhn length of the flexible cylinder, radius, Ang, 20.0, [0, inf], volume, Radius of the flexible cylinder, sld, 1e-6/Ang^2, 1.0, [-inf, inf], , Cylinder scattering length density, sld_solvent, 1e-6/Ang^2, 6.3, [-inf, inf], , Solvent scattering length density|| || || ||
||flexible_cylinder_elliptical||Note : scale and contrast=sldCyl-sldSolv are both multiplicative         factors in the         model and are perfectly correlated. One or         both of these parameters must be held fixed         during model fitting.         ||length, Ang, 1000.0, [0, inf], volume, Length of the flexible cylinder, kuhn_length, Ang, 100.0, [0, inf], volume, Kuhn length of the flexible cylinder, radius, Ang, 20.0, [1, inf], volume, Radius of the flexible cylinder, axis_ratio, , 1.5, [0, inf], , Axis_ratio (major_radius/minor_radius, sld, 1e-6/Ang^2, 1.0, [-inf, inf], , Cylinder scattering length density, sld_solvent, 1e-6/Ang^2, 6.3, [-inf, inf], , Solvent scattering length density|| || || ||
||mass_fractal||         The scattering intensity  I(x) = scale*P(x)*S(x) + background, where         scale = scale_factor  * V * delta ^ (2)         p(x)=  F(x*radius) ^ (2)         F(x) = 3*[sin(x)-x cos(x)]/x**3         S(x) = [(gamma(Dm-1)*colength ^ (Dm-1)*[1+(x ^ 2*colength ^ 2)] ^ ((1-Dm)/2)         * sin[(Dm-1)*arctan(x*colength)])/x]         where delta = sldParticle -sldSolv.         radius       =  Particle radius         mass_dim  =  Mass fractal dimension         cutoff_length  =  Cut-off length         background   =  background         Ref.:Mildner, Hall,J Phys D Appl Phys(1986), 9, 1535-1545         Note I: This model is valid for 1<mass_dim<6.         Note II: This model is not in absolute scale.         ||radius, Ang, 10.0, [0.0, inf], , Particle radius, mass_dim, , 1.9, [1.0, 6.0], , Mass fractal dimension, cutoff_length, Ang, 100.0, [0.0, inf], , Cut-off length|| || || ||
||hollow_rectangular_prism_thin_walls||     I(q)= scale*V*(sld - sld_solvent) ^ 2*P(q)+background         with P(q) being the form factor corresponding to a hollow rectangular         parallelepiped with infinitely thin walls. ||sld, 1e-6/Ang^2, 6.3, [-inf, inf], , Parallelepiped scattering length density, sld_solvent, 1e-6/Ang^2, 1, [-inf, inf], , Solvent scattering length density, a_side, Ang, 35, [0, inf], volume, Shorter side of the parallelepiped, b2a_ratio, Ang, 1, [0, inf], volume, Ratio sides b/a, c2a_ratio, Ang, 1, [0, inf], volume, Ratio sides c/a|| || || ||
||core_multi_shell||Form factor for a core muti-shell (up to 4) sphere normalized by the volume. Each shell can have a unique thickness and sld.  	background:background, 	rad_core0: radius of sphere(core) 	thick_shell#:the thickness of the shell# 	sld_core0: the SLD of the sphere 	sld_solv: the SLD of the solvent 	sld_shell: the SLD of the shell# 	A_shell#: the coefficient in the exponential function 	 	     scale: 1.0 if data is on absolute scale     volfraction: volume fraction of spheres     radius: the radius of the core     sld: the SLD of the core     thick_shelli: the thickness of the i'th shell from the core     sld_shelli: the SLD of the i'th shell from the core     sld_solvent: the SLD of the solvent     background: incoherent background  ||volfraction, , 0.05, [0, 1], , volume fraction of spheres, sld_core, 1e-6/Ang^2, 1.0, [-inf, inf], , Core scattering length density, radius, Ang, 200.0, [0, inf], volume, Radius of the core, sld_solvent, 1e-6/Ang^2, 6.4, [-inf, inf], , Solvent scattering length density, n, , 1, [0, 10], volume, number of shells, sld[n], 1e-6/Ang^2, 1.7, [-inf, inf], , scattering length density of shell k, thickness[n], Ang, 40.0, [0, inf], volume, Thickness of shell k|| || || ||
||adsorbed_layer||     Evaluates the scattering from large particles     with an adsorbed layer of surfactant or     polymer, independent of the form of the     density distribution.     ||second_moment, Ang, 23.0, [0.0, inf], , Second moment of polymer distribution, adsorbed_amount, mg/m2, 1.9, [0.0, inf], , Adsorbed amount of polymer, density_shell, g/cm3, 0.7, [0.0, inf], , Bulk density of polymer in the shell, radius, Ang, 500.0, [0.0, inf], , Core particle radius, volfraction, None, 0.14, [0.0, inf], , Core particle volume fraction, sld_shell, 1e-6/Ang^2, 1.5, [-inf, inf], sld, Polymer shell SLD, sld_solvent, 1e-6/Ang^2, 6.3, [-inf, inf], sld, Solvent SLD|| || || ||
||spherical_sld||             I(q) =                background = Incoherent background [1/cm]         ||n_shells, , 1, [0, 9], , number of shells, radius_core, Ang, 50.0, [0, inf], , intern layer thickness, sld_core, 1e-6/Ang^2, 2.07, [-inf, inf], , sld function flat, sld_flat[n], 1e-6/Ang^2, 4.06, [-inf, inf], , sld function flat, thick_flat[n], Ang, 100.0, [0, inf], , flat layer_thickness, func_inter[n], , 0, [0, 4], , Erf:0, RPower:1, LPower:2, RExp:3, LExp:4, thick_inter[n], Ang, 50.0, [0, inf], , intern layer thickness, inter_nu[n], , 2.5, [-inf, inf], , steepness parameter, npts_inter, , 35, [0, 35], , number of points in each sublayer Must be odd number, sld_solvent, 1e-6/Ang^2, 1.0, [-inf, inf], , sld function solvent|| || || ||
||hollow_rectangular_prism||     I(q)= scale*V*(sld - sld_solvent) ^ 2*P(q,theta,phi)+background         P(q,theta,phi) = (2/pi/V ^ 2) * double integral from 0 to pi/2 of ...            (AP1-AP2) ^ 2(q)*sin(theta)*dtheta*dphi         AP1 = S(q*C*cos(theta)/2) * S(q*A*sin(theta)*sin(phi)/2) * S(q*B*sin(theta)*cos(phi)/2)         AP2 = S(q*C'*cos(theta)) * S(q*A'*sin(theta)*sin(phi)) * S(q*B'*sin(theta)*cos(phi))         C' = (C/2-thickness)         B' = (B/2-thickness)         A' = (A/2-thickness)         S(x) = sin(x)/x ||sld, 1e-6/Ang^2, 6.3, [-inf, inf], , Parallelepiped scattering length density, sld_solvent, 1e-6/Ang^2, 1, [-inf, inf], , Solvent scattering length density, a_side, Ang, 35, [0, inf], volume, Shorter side of the parallelepiped, b2a_ratio, Ang, 1, [0, inf], volume, Ratio sides b/a, c2a_ratio, Ang, 1, [0, inf], volume, Ratio sides c/a, thickness, Ang, 1, [0, inf], volume, Thickness of parallelepiped|| || || ||
||ellipsoid||P(q.alpha)= scale*f(q) ^ 2 + background, where f(q)= 3*(sld         - sld_solvent)*V*[sin(q*r(Rp,Re,alpha))         -q*r*cos(qr(Rp,Re,alpha))]         /[qr(Rp,Re,alpha)] ^ 3"       r(Rp,Re,alpha)= [Re ^ (2)*(sin(alpha)) ^ 2         + Rp ^ (2)*(cos(alpha)) ^ 2] ^ (1/2)          sld: SLD of the ellipsoid         sld_solvent: SLD of the solvent         V: volume of the ellipsoid         Rp: polar radius of the ellipsoid         Re: equatorial radius of the ellipsoid ||sld, 1e-6/Ang^2, 4, [-inf, inf], , Ellipsoid scattering length density, sld_solvent, 1e-6/Ang^2, 1, [-inf, inf], , Solvent scattering length density, r_polar, Ang, 20, [0, inf], volume, Polar radius, r_equatorial, Ang, 400, [0, inf], volume, Equatorial radius, theta, degrees, 60, [-inf, inf], orientation, In plane angle, phi, degrees, 60, [-inf, inf], orientation, Out of plane angle|| || || ||
||two_lorentzian||I(q) = scale_1/(1.0 + pow((q*length_1),exponent_1))              + scale_2/(1.0 + pow((q*length_2),exponent_2) )+ background               scale_1    = Lorentzian term scaling #1              length_1   = Lorentzian screening length #1 [A]              exponent_1 = Lorentzian exponent #1              scale_2    = Lorentzian term scaling #2              length_2   = Lorentzian screening length #2 [A]              exponent_2 = Lorentzian exponent #2              background = Incoherent background         ||lorentz_scale_1, , 10.0, [-inf, inf], , First power law scale factor, lorentz_length_1, Ang, 100.0, [-inf, inf], , First Lorentzian screening length, lorentz_exp_1, , 3.0, [-inf, inf], , First exponent of power law, lorentz_scale_2, , 1.0, [-inf, inf], , Second scale factor for broad Lorentzian peak, lorentz_length_2, Ang, 10.0, [-inf, inf], , Second Lorentzian screening length, lorentz_exp_2, , 2.0, [-inf, inf], , Second exponent of power law|| || || ||
||fractal_core_shell||  ||radius, Ang, 60.0, [0, inf], volume, Sphere core radius, thickness, Ang, 10.0, [0, inf], volume, Sphere shell thickness, sld_core, 1e-6/Ang^2, 1.0, [-inf, inf], , Sphere core scattering length density, sld_shell, 1e-6/Ang^2, 2.0, [-inf, inf], , Sphere shell scattering length density, sld_solvent, 1e-6/Ang^2, 3.0, [-inf, inf], , Solvent scattering length density, volfraction, , 1.0, [0, inf], , Volume fraction of building block spheres, frac_dim, , 2.0, [-inf, inf], , Fractal dimension, cor_length, Ang, 100.0, [0, inf], , Correlation length of fractal-like aggregates|| || || ||
||capped_cylinder||That is, a sphereocylinder     with end caps that have a radius larger than     that of the cylinder and the center of the     end cap radius lies within the cylinder.     Note: As the length of cylinder -->0,     it becomes a Convex Lens.     It must be that radius <(=) cap_radius.     [Parameters];     scale: volume fraction of spheres,     background:incoherent background,     radius: radius of the cylinder,     length: length of the cylinder,     cap_radius: radius of the semi-spherical cap,     sld: SLD of the capped cylinder,     sld_solvent: SLD of the solvent. ||sld, 1e-6/Ang^2, 4, [-inf, inf], , Cylinder scattering length density, sld_solvent, 1e-6/Ang^2, 1, [-inf, inf], , Solvent scattering length density, radius, Ang, 20, [0, inf], volume, Cylinder radius, cap_radius, Ang, 20, [0, inf], volume, Cap radius, length, Ang, 400, [0, inf], volume, Cylinder length, theta, degrees, 60, [-inf, inf], orientation, In plane angle, phi, degrees, 60, [-inf, inf], orientation, Out of plane angle|| || || ||
||core_shell_ellipsoid||     [SpheroidCoreShellModel] Calculates the form factor for an spheroid     ellipsoid particle with a core_shell structure.     The form factor is averaged over all possible     orientations of the ellipsoid such that P(q)     = scale*<f ^ 2>/Vol + bkg, where f is the     single particle scattering amplitude.     [Parameters]:     equat_core = equatorial radius of core, Rminor_core,     polar_core = polar radius of core, Rmajor_core,     equat_shell = equatorial radius of shell, Rminor_outer,     polar_shell = polar radius of shell, Rmajor_outer,     sld_core = scattering length density of core,     sld_shell = scattering length density of shell,     sld_solvent = scattering length density of solvent,     background = Incoherent bkg     scale =scale     Note:It is the users' responsibility to ensure     that shell radii are larger than core radii,     especially if both are polydisperse.     oblate: polar radius < equatorial radius     prolate :  polar radius > equatorial radius     ||equat_core, Ang, 200, [0, inf], volume, Equatorial radius of core, Rminor_core , polar_core, Ang, 10, [0, inf], volume, Polar radius of core, Rmajor_core, equat_shell, Ang, 250, [0, inf], volume, Equatorial radius of shell, Rminor_outer , polar_shell, Ang, 30, [0, inf], volume, Polar radius of shell, Rmajor_outer, sld_core, 1e-6/Ang^2, 2, [-inf, inf], sld, Core scattering length density, sld_shell, 1e-6/Ang^2, 1, [-inf, inf], sld, Shell scattering length density, sld_solvent, 1e-6/Ang^2, 6.3, [-inf, inf], sld, Solvent scattering length density, theta, degrees, 0, [-inf, inf], orientation, Oblate orientation wrt incoming beam, phi, degrees, 0, [-inf, inf], orientation, Oblate orientation in the plane of the detector|| || || ||
||stickyhardsphere||    [Sticky hard sphere structure factor, with Percus-Yevick closure]         Interparticle structure factor S(Q)for a hard sphere fluid with         a narrow attractive well. Fits are prone to deliver non-physical         parameters, use with care and read the references in the full manual.         In sasview the effective radius will be calculated from the         parameters used in P(Q). ||radius_effective, Ang, 50.0, [0, inf], volume, effective radius of hard sphere, volfraction, , 0.2, [0, 0.74], , volume fraction of hard spheres, perturb, , 0.05, [0.01, 0.1], , perturbation parameter, epsilon, stickiness, , 0.2, [-inf, inf], , stickiness, tau|| || || ||
||fcc_paracrystal||     Calculates the scattering from a **face-centered cubic lattice** with paracrystalline distortion. Thermal vibrations     are considered to be negligible, and the size of the paracrystal is infinitely large. Paracrystalline distortion is     assumed to be isotropic and characterized by a Gaussian distribution.     ||dnn, Ang, 220, [-inf, inf], , Nearest neighbour distance, d_factor, , 0.06, [-inf, inf], , Paracrystal distortion factor, radius, Ang, 40, [0, inf], volume, Particle radius, sld, 1e-6/Ang^2, 4, [-inf, inf], , Particle scattering length density, sld_solvent, 1e-6/Ang^2, 1, [-inf, inf], , Solvent scattering length density, theta, degrees, 60, [-inf, inf], orientation, In plane angle, phi, degrees, 60, [-inf, inf], orientation, Out of plane angle, psi, degrees, 60, [-inf, inf], orientation, Out of plane angle|| || || ||
||poly_gauss_coil||     Evaluates the scattering from      polydisperse polymer chains.     ||i_zero, 1/cm, 70.0, [0.0, inf], , Intensity at q=0, radius_gyration, Ang, 75.0, [0.0, inf], , Radius of gyration, polydispersity, None, 2.0, [1.0, inf], , Polymer Mw/Mn|| || || ||
